,상품명,가격
272,부안 참뽕 와인,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
273,부자,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
274,주평역,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
275,오미자,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
276,우리술 우리쌀 막걸리,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
277,불소곡주,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
278,붉은 원숭이,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다.)"
279,블루베리 이야기,"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)"
280,복분자음,"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)"
281,볼빨간막걸리 7,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다)"
282,사과와인,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
283,사미인주,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
284,사시통음주,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
285,온도와 온도계,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
286,산내울 복분자주,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
287,산내울 사과애주,"￦14,000 (가격은 판매처 별로 상이할 수 있습니다)"
288,산내울 오미자주,"￦20,000(가격은 판매처 별로 상이할 수 있습니다)"
289,산막 생유 막걸리,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
290,크라테 레드와인 드라이,"￦48,000 (가격은 판매처 별로 상이할 수 있습니다)"
291,크라테 로제와인,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
292,크라테 레드와인 스위트,"￦48,000 (가격은 판매처 별로 상이할 수 있습니다)"
293,컨츄리 산머루 와인 (드라이),"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
294,컨츄리 산머루 와인 (스위트),"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
295,명술 375ml,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
296,산정호수 동정춘막걸리,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
297,강원 지역 술,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
298,삼선,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다)"
299,삼양춘 생약주,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
300,삼양춘 생탁주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
301,삼양춘 청주,"￦16,800 (가격은 판매처 별로 상이할 수 있습니다)"
302,삼해소주가,"￦16,800 (가격은 판매처 별로 상이할 수 있습니다)"
303,여수 쌀막걸리 '정',"￦16,800 (가격은 판매처 별로 상이할 수 있습니다)"
304,생 청주 막걸리,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)"
305,창원 생탁주,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)"
306,샤토미소 랑,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
